Day,Order sumary,,,Totals,,
Sunday,Item,Quantity,Total,"$17,106.45",,price
,501,231,,,,$6.50
,502,189,,,,$5.50
,503,40,,,,$4.50
,504,137,,,,$2.50
,505,65,,,,$5.00
,506,246,,,,$32.00
,507,299,,,,$0.75
,508,262,,,,$4.75
,509,96,,,,$5.75
,510,161,,,,$3.75
,511,45,,,,$4.50
,512,285,,,,$3.50
,513,217,,,,$0.10
,514,133,,,,$1.50
,515,223,,,,$2.50
,516,53,,,,$5.00
,517,184,,,,$1.75
,518,227,,,,$1.25
,519,186,,,,$2.00
,,,,,,
Monday,Item,Quantity,Total,"$6,623.70",,
,501,44,,,,
,502,55,,,,
,503,82,,,,
,504,95,,,,
,505,50,,,,
,506,77,,,,
,507,60,,,,
,508,81,,,,
,509,83,,,,
,510,87,,,,
,511,81,,,,
,512,57,,,,
,513,77,,,,
,514,83,,,,
,515,57,,,,
,516,45,,,,
,517,95,,,,
,518,62,,,,
,519,87,,,,
,,,,,,
Tuesday,Item,Quantity,Total,"$4,600.10",,
,501,81,,,,
,502,33,,,,
,503,72,,,,
,504,40,,,,
,505,52,,,,
,506,30,,,,
,507,32,,,,
,508,94,,,,
,509,81,,,,
,510,22,,,,
,511,26,,,,
,512,57,,,,
,513,11,,,,
,514,90,,,,
,515,14,,,,
,516,88,,,,
,517,65,,,,
,518,56,,,,
,519,59,,,,
,,,,,,
Wednesday,Item,Quantity,Total,"$4,325.00",,
,501,22,,,,
,502,53,,,,
,503,41,,,,
,504,35,,,,
,505,58,,,,
,506,56,,,,
,507,41,,,,
,508,17,,,,
,509,58,,,,
,510,60,,,,
,511,27,,,,
,512,51,,,,
,513,30,,,,
,514,41,,,,
,515,50,,,,
,516,24,,,,
,517,60,,,,
,518,32,,,,
,519,56,,,,
,,,,,,
Thursday,Item,Quantity,Total,"$3,049.40",,
,501,18,,,,
,502,19,,,,
,503,33,,,,
,504,40,,,,
,505,40,,,,
,506,27,,,,
,507,7,,,,
,508,50,,,,
,509,52,,,,
,510,51,,,,
,511,44,,,,
,512,17,,,,
,513,44,,,,
,514,51,,,,
,515,53,,,,
,516,29,,,,
,517,41,,,,
,518,7,,,,
,519,43,,,,
,,,,,,
Friday,Item,Quantity,Total,"$2,528.30",,
,501,8,,,,
,502,35,,,,
,503,32,,,,
,504,7,,,,
,505,27,,,,
,506,26,,,,
,507,6,,,,
,508,36,,,,
,509,47,,,,
,510,21,,,,
,511,39,,,,
,512,6,,,,
,513,38,,,,
,514,23,,,,
,515,28,,,,
,516,31,,,,
,517,35,,,,
,518,27,,,,
,519,38,,,,
,,,,,,
Saturday,Item,Quantity,Total,"$2,590.90",,
,501,20,,,,
,502,14,,,,
,503,26,,,,
,504,49,,,,
,505,26,,,,
,506,13,,,,
,507,48,,,,
,508,64,,,,
,509,55,,,,
,510,18,,,,
,511,53,,,,
,512,35,,,,
,513,59,,,,
,514,17,,,,
,515,62,,,,
,516,25,,,,
,517,54,,,,
,518,43,,,,
,519,27,,,,
